Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/02/2025,04/02/2025,Payment Thank You-Mobile,,Payment,73.92,
03/28/2025,03/30/2025,WCI*PROGRESSIVEWASTEFL,Bills & Utilities,Sale,-61.50,
03/24/2025,03/25/2025,ALIEXPRESS,Shopping,Sale,-12.97,
03/21/2025,03/21/2025,OPENAI,Shopping,Sale,-10.15,
03/17/2025,03/18/2025,PARKING CTY OF CLEARWATE,Travel,Sale,-0.90,
03/11/2025,03/11/2025,Payment Thank You-Mobile,,Payment,671.57,
03/09/2025,03/11/2025,THE HOME DEPOT #6357,Home,Return,31.91,
03/09/2025,03/11/2025,THE HOME DEPOT 6357,Home,Sale,-20.31,
03/09/2025,03/10/2025,ESCAPE ROOT JUICERY,Groceries,Sale,-21.46,
03/09/2025,03/10/2025,CHEVRON 0379997,Gas,Sale,-6.41,
03/05/2025,03/05/2025,WWW.PERPLEXITY.AI,Entertainment,Sale,-20.00,
03/03/2025,03/04/2025,PARKING CTY OF CLEARWATE,Travel,Sale,-0.90,
